tube_id,layer_id,sector_id,x,y,z,inner_radius,outer_radius,tube_length,angle,skewed
168,1,3,9.62154,-14.645,35,0.5,0.501,150,0,0
169,1,3,10.4962,-14.14,35,0.5,0.501,150,0,0
170,1,3,11.3709,-13.635,35,0.5,0.501,150,0,0
171,1,3,12.2456,-13.13,35,0.5,0.501,150,0,0
172,1,3,13.1203,-12.625,35,0.5,0.501,150,0,0
173,1,3,13.995,-12.12,35,0.5,0.501,150,0,0
174,1,3,14.8697,-11.615,35,0.5,0.501,150,0,0
175,1,3,15.7443,-11.11,35,0.5,0.501,150,0,0
176,1,3,16.619,-10.605,35,0.5,0.501,150,0,0
177,1,3,17.4937,-10.1,35,0.5,0.501,150,0,0
178,1,4,17.4937,-9.09,35,0.5,0.501,150,0,0
179,1,4,17.4937,-8.08,35,0.5,0.501,150,0,0
180,1,4,17.4937,-7.07,35,0.5,0.501,150,0,0
181,1,4,17.4937,-6.06,35,0.5,0.501,150,0,0
182,1,4,17.4937,-5.05,35,0.5,0.501,150,0,0
183,1,4,17.4937,-4.04,35,0.5,0.501,150,0,0
184,1,4,17.4937,-3.03,35,0.5,0.501,150,0,0
185,1,4,17.4937,-2.02,35,0.5,0.501,150,0,0
186,1,4,17.4937,-1.01,35,0.5,0.501,150,0,0
187,1,4,17.4937,0,35,0.5,0.501,150,0,0
188,1,4,17.4937,1.01,35,0.5,0.501,150,0,0
189,1,4,17.4937,2.02,35,0.5,0.501,150,0,0
190,1,4,17.4937,3.03,35,0.5,0.501,150,0,0
191,1,4,17.4937,4.04,35,0.5,0.501,150,0,0
192,1,4,17.4937,5.05,35,0.5,0.501,150,0,0
193,1,4,17.4937,6.06,35,0.5,0.501,150,0,0
194,1,4,17.4937,7.07,35,0.5,0.501,150,0,0
195,1,4,17.4937,8.08,35,0.5,0.501,150,0,0
196,1,4,17.4937,9.09,35,0.5,0.501,150,0,0
197,1,5,17.4937,10.1,35,0.5,0.501,150,0,0
198,1,5,16.619,10.605,35,0.5,0.501,150,0,0
199,1,5,15.7443,11.11,35,0.5,0.501,150,0,0
200,1,5,14.8697,11.615,35,0.5,0.501,150,0,0
201,1,5,13.995,12.12,35,0.5,0.501,150,0,0
202,1,5,13.1203,12.625,35,0.5,0.501,150,0,0
203,1,5,12.2456,13.13,35,0.5,0.501,150,0,0
204,1,5,11.3709,13.635,35,0.5,0.501,150,0,0
205,1,5,10.4962,14.14,35,0.5,0.501,150,0,0
206,1,5,9.62154,14.645,35,0.5,0.501,150,0,0
207,1,5,8.74686,15.15,35,0.5,0.501,150,0,0
208,1,5,7.87217,15.655,35,0.5,0.501,150,0,0
209,1,5,6.99749,16.16,35,0.5,0.501,150,0,0
210,1,5,6.1228,16.665,35,0.5,0.501,150,0,0
211,1,5,5.24811,17.17,35,0.5,0.501,150,0,0
212,1,5,4.37343,17.675,35,0.5,0.501,150,0,0
213,1,5,3.49874,18.18,35,0.5,0.501,150,0,0
214,1,5,2.62406,18.685,35,0.5,0.501,150,0,0
215,2,0,-2.62406,19.695,35,0.5,0.501,150,0,0
216,2,0,-3.49874,19.19,35,0.5,0.501,150,0,0
217,2,0,-4.37343,18.685,35,0.5,0.501,150,0,0
218,2,0,-5.24811,18.18,35,0.5,0.501,150,0,0
219,2,0,-6.1228,17.675,35,0.5,0.501,150,0,0
220,2,0,-6.99749,17.17,35,0.5,0.501,150,0,0
221,2,0,-7.87217,16.665,35,0.5,0.501,150,0,0
222,2,0,-8.74686,16.16,35,0.5,0.501,150,0,0
223,2,0,-9.62154,15.655,35,0.5,0.501,150,0,0
224,2,0,-10.4962,15.15,35,0.5,0.501,150,0,0
225,2,0,-11.3709,14.645,35,0.5,0.501,150,0,0
226,2,0,-12.2456,14.14,35,0.5,0.501,150,0,0
227,2,0,-13.1203,13.635,35,0.5,0.501,150,0,0
228,2,0,-13.995,13.13,35,0.5,0.501,150,0,0
229,2,0,-14.8697,12.625,35,0.5,0.501,150,0,0
230,2,0,-15.7443,12.12,35,0.5,0.501,150,0,0
231,2,0,-16.619,11.615,35,0.5,0.501,150,0,0
232,2,0,-17.4937,11.11,35,0.5,0.501,150,0,0
233,2,0,-18.3684,10.605,35,0.5,0.501,150,0,0
234,2,1,-18.3684,9.595,35,0.5,0.501,150,0,0
235,2,1,-18.3684,8.585,35,0.5,0.501,150,0,0
